"user_id","gender","home_country","home_city","months_since_sign_up","has_children","is_married","is_family","age","age_group","avg_days_from_res_to_trip","total_number_of_sessions","total_number_of_page_clicks","total_session_duration_in_minutes","total_trips","total_discounted_trips","total_hotel_discounted_trips","total_flight_discounted_trips","total_cancelled_trips","total_flights","return_flights","total_hotel_res","total_paid_for_flights_before_disc","avg_paid_for_flights_before_disc","total_paid_for_flights_after_disc","avg_paid_for_flights_after_disc","total_disc_for_flights","avg_disc_for_flight","avg_disc_perc_for_flight","avg_disc_perc_for_hotel","total_paid_for_hotels_before_disc","avg_paid_for_hotels_before_disc","total_paid_for_hotels_after_disc","avg_paid_for_hotels_after_disc","total_disc_for_hotels","avg_disc_for_hotels","avg_num_of_rooms_per_hotel_res","avg_num_of_nights_per_hotel_res","tot_num_of_nights_for_hotel_res","num_of_diff_hotels_stayed","num_of_diff_hotel_groups_stayed","num_of_diff_hotel_cities_stayed","num_of_diff_flight_dest","num_of_diff_airlines","num_of_diff_routes","avg_num_of_seats_booked_per_flight","tot_num_of_seats_booked_for_flights","tot_number_of_checked_bags_for_flights","avg_of_checked_bags_for_flights","tot_flight_distance_km","tot_flight_dist_km","avg_flight_dist_km","booking_rate_per_session_segmentation","budget_segmentation","flyer_segmentation","customer_value","ads_per_km","discount_flight_proportion","bargain_hunter_index","avg_session_dur_min"
94883,0,0,kansas city,40,0,1,0,53,"50+",7.5000000000000000,8,73,9.04,2,1,1,0,0,4,2,2,864.09,432.05,864.09,432.05,0.00,0.00,0.00,0.03,230,115.00,230,115.00,0,0.00,1.50,1.00,2,2,2,2,2,2,2,1.50,3,1,0.50,5814.6645102292005,5805.341614807776,2902.670807403888,Occasional Booker,Low Budget,Rare Flyer,547.0450000000000000,0.14884395395370914,0.00000000000000000000,0.0,1.1300000000000000
101486,0,0,tacoma,40,1,1,1,52,"50+",8.0000000000000000,8,131,16.30,2,1,0,2,0,2,1,2,189.91,189.91,189.91,189.91,0.00,0.00,0.03,0.00,2199,1099.50,2199,1099.50,0,0.00,1.50,4.00,8,2,2,2,1,1,2,1.00,1,0,0.00,1930.6811358283821,1991.363199565424,1991.363199565424,Occasional Booker,Moderate Budget,Rare Flyer,1194.4550000000000000,0.09536683214867289,1.00000000000000000000,0.0028610049644601865,2.0375000000000000
101961,0,0,boston,40,0,1,0,45,"41-50",6.6000000000000000,8,126,15.71,5,3,1,2,0,10,5,5,1242.66,248.53,1237.693,247.54,4.967,0.99,0.04,0.01,2429,485.80,2429,485.80,0,0.00,1.00,3.80,19,5,5,5,5,5,5,1.00,5,2,0.40,13216.841826795579,13665.690966548455,2733.138193309691,Rare Booker,Low Budget,Frequent Flyer,733.3386000000000000,0.090569368430011,0.40000000000000000000,0.001449109894880176,1.9637500000000000
106907,0,0,miami,39,1,1,1,47,"41-50",0,8,240,101.19,0,0,0,0,1,0,0,0,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0,0,0.00,0.0,0.0,0.0,Never Booker,Low Budget,Rare Flyer,0,0.0,0,0.0,12.6487500000000000
118043,0,0,los angeles,39,1,0,0,53,"50+",8.6000000000000000,8,164,20.42,5,4,3,2,0,6,3,4,2339.29,779.76,2339.29,779.76,0.00,0.00,0.06,0.05,5811,1452.75,5616.45,1404.11,194.55,48.64,1.25,5.50,22,3,2,3,3,3,5,2.00,6,3,1.00,14730.147053318484,15030.990998443045,5010.330332814348,Rare Booker,High Budget,Regular Flyer,1591.1480000000000000,0.15563112240851656,0.40000000000000000000,0.0037351469378043975,2.5525000000000000
125845,0,0,el paso,39,0,1,0,42,"41-50",9.3333333333333333,9,159,19.77,3,2,1,1,0,6,3,3,1753.32,584.44,1646.7630,548.92,106.5570,35.52,0.03,0.01,689,229.67,689,229.67,0,0.00,1.33,1.67,5,3,2,3,3,3,3,1.33,4,2,0.67,16204.688750829455,17169.114772324523,5723.038257441508,Occasional Booker,Low Budget,Regular Flyer,778.5876666666666667,0.09591426359700693,0.33333333333333333333,0.0009591426359701,2.1966666666666667
133058,0,0,austin,38,0,0,0,20,"18-25",6.0000000000000000,8,73,9.09,1,1,1,0,0,2,1,0,423.51,423.51,423.51,423.51,0.00,0.00,0.00,0.02,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,1,1,1,1.00,1,0,0.00,5416.588763224011,5774.357031305372,5774.357031305372,Frequent Booker,Low Budget,Rare Flyer,423.5100000000000000,0.07334323071884244,0.00000000000000000000,0.0,1.1362500000000000
152583,0,0,colorado springs,38,0,0,0,39,"31-40",9.0000000000000000,8,149,18.52,1,2,1,1,0,2,1,1,367.83,367.83,367.83,367.83,0.00,0.00,0.04,0.04,426,426.00,426,426.00,0,0.00,1.00,2.00,2,1,1,1,1,1,1,1.00,1,2,2.00,4357.578076910194,4531.432591271044,4531.432591271044,Frequent Booker,Low Budget,Rare Flyer,793.8300000000000000,0.08117300491428596,1.00000000000000000000,0.0032469201965714383,2.3150000000000000
153982,0,1,toronto,37,1,0,0,47,"41-50",9.3333333333333333,8,150,18.47,3,1,1,0,0,6,3,3,656.87,218.96,656.87,218.96,0.00,0.00,0.00,0.03,681,227.00,681,227.00,0,0.00,1.00,1.33,4,3,3,3,3,2,3,1.00,3,1,0.33,7695.253138473611,8061.751161374978,2687.250387124993,Occasional Booker,Low Budget,Regular Flyer,445.9566666666666667,0.08147981584288531,0.00000000000000000000,0.0,2.3087500000000000
160754,0,0,new york,37,1,1,1,47,"41-50",12.0000000000000000,8,86,10.78,1,0,0,0,0,2,1,1,93.62,93.62,93.62,93.62,0.00,0.00,0.00,0.00,428,428.00,428,428.00,0,0.00,1.00,2.00,2,1,1,1,1,1,1,1.00,1,1,1.00,1052.2400807843567,1055.26366778776,1055.26366778776,Frequent Booker,Low Budget,Rare Flyer,521.6200000000000000,0.088717164115262,0.00000000000000000000,0.0,1.3475000000000000
