,user_id,gender,home_country,home_city,months_since_sign_up,has_children,is_married,is_family,age,age_group,avg_days_from_res_to_trip,total_number_of_sessions,total_number_of_page_clicks,total_session_duration_in_minutes,total_trips,total_discounted_trips,total_hotel_discounted_trips,total_flight_discounted_trips,total_cancelled_trips,total_flights,return_flights,total_hotel_res,total_paid_for_flights_before_disc,avg_paid_for_flights_before_disc,total_paid_for_flights_after_disc,avg_paid_for_flights_after_disc,total_disc_for_flights,avg_disc_for_flight,avg_disc_perc_for_flight,avg_disc_perc_for_hotel,total_paid_for_hotels_before_disc,avg_paid_for_hotels_before_disc,total_paid_for_hotels_after_disc,avg_paid_for_hotels_after_disc,total_disc_for_hotels,avg_disc_for_hotels,avg_num_of_rooms_per_hotel_res,avg_num_of_nights_per_hotel_res,tot_num_of_nights_for_hotel_res,num_of_diff_hotels_stayed,num_of_diff_hotel_groups_stayed,num_of_diff_hotel_cities_stayed,num_of_diff_flight_dest,num_of_diff_airlines,num_of_diff_routes,avg_num_of_seats_booked_per_flight,tot_num_of_seats_booked_for_flights,tot_number_of_checked_bags_for_flights,avg_of_checked_bags_for_flights,tot_flight_distance_km,tot_flight_dist_km,avg_flight_dist_km,booking_rate_per_session_segmentation,budget_segmentation,flyer_segmentation,customer_value,ads_per_km,discount_flight_proportion,bargain_hunter_index,avg_session_dur_min,segment
0,94883,0,0,kansas city,40,0,1,0,53,50+,7.5,8,73,9.04,2,1,1,0,0,4,2,2,864.09,432.05,864.09,432.05,0.0,0.0,0.0,0.03,230,115.0,230.0,115.0,0.0,0.0,1.5,1.0,2,2,2,2,2,2,2,1.5,3,1,0.5,5814.6645102292005,5805.341614807776,2902.670807403888,Occasional Booker,Low Budget,Rare Flyer,547.045,0.1488439539537091,0.0,0.0,1.13,1
1,101486,0,0,tacoma,40,1,1,1,52,50+,8.0,8,131,16.3,2,1,0,2,0,2,1,2,189.91,189.91,189.91,189.91,0.0,0.0,0.03,0.0,2199,1099.5,2199.0,1099.5,0.0,0.0,1.5,4.0,8,2,2,2,1,1,2,1.0,1,0,0.0,1930.681135828382,1991.363199565424,1991.363199565424,Occasional Booker,Moderate Budget,Rare Flyer,1194.455,0.0953668321486728,1.0,0.0028610049644601,2.0375,1
2,101961,0,0,boston,40,0,1,0,45,41-50,6.6,8,126,15.71,5,3,1,2,0,10,5,5,1242.66,248.53,1237.693,247.54,4.967,0.99,0.04,0.01,2429,485.8,2429.0,485.8,0.0,0.0,1.0,3.8,19,5,5,5,5,5,5,1.0,5,2,0.4,13216.84182679558,13665.690966548456,2733.138193309691,Rare Booker,Low Budget,Frequent Flyer,733.3386,0.090569368430011,0.4,0.0014491098948801,1.96375,3
3,106907,0,0,miami,39,1,1,1,47,41-50,0.0,8,240,101.19,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Never Booker,Low Budget,Rare Flyer,0.0,0.0,0.0,0.0,12.64875,2
4,118043,0,0,los angeles,39,1,0,0,53,50+,8.6,8,164,20.42,5,4,3,2,0,6,3,4,2339.29,779.76,2339.29,779.76,0.0,0.0,0.06,0.05,5811,1452.75,5616.45,1404.11,194.55,48.64,1.25,5.5,22,3,2,3,3,3,5,2.0,6,3,1.0,14730.147053318484,15030.990998443043,5010.330332814348,Rare Booker,High Budget,Regular Flyer,1591.148,0.1556311224085165,0.4,0.0037351469378043,2.5525,3
5,125845,0,0,el paso,39,0,1,0,42,41-50,9.33333333333333,9,159,19.77,3,2,1,1,0,6,3,3,1753.32,584.44,1646.763,548.92,106.557,35.52,0.03,0.01,689,229.67,689.0,229.67,0.0,0.0,1.33,1.67,5,3,2,3,3,3,3,1.33,4,2,0.67,16204.688750829457,17169.114772324523,5723.038257441508,Occasional Booker,Low Budget,Regular Flyer,778.5876666666666,0.0959142635970069,0.3333333333333333,0.0009591426359701,2.1966666666666668,3
6,133058,0,0,austin,38,0,0,0,20,18-25,6.0,8,73,9.09,1,1,1,0,0,2,1,0,423.51,423.51,423.51,423.51,0.0,0.0,0.0,0.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1.0,1,0,0.0,5416.588763224011,5774.357031305372,5774.357031305372,Frequent Booker,Low Budget,Rare Flyer,423.51,0.0733432307188424,0.0,0.0,1.13625,2
7,152583,0,0,colorado springs,38,0,0,0,39,31-40,9.0,8,149,18.52,1,2,1,1,0,2,1,1,367.83,367.83,367.83,367.83,0.0,0.0,0.04,0.04,426,426.0,426.0,426.0,0.0,0.0,1.0,2.0,2,1,1,1,1,1,1,1.0,1,2,2.0,4357.578076910194,4531.432591271044,4531.432591271044,Frequent Booker,Low Budget,Rare Flyer,793.83,0.0811730049142859,1.0,0.0032469201965714,2.315,1
8,153982,0,1,toronto,37,1,0,0,47,41-50,9.33333333333333,8,150,18.47,3,1,1,0,0,6,3,3,656.87,218.96,656.87,218.96,0.0,0.0,0.0,0.03,681,227.0,681.0,227.0,0.0,0.0,1.0,1.33,4,3,3,3,3,2,3,1.0,3,1,0.33,7695.253138473611,8061.751161374978,2687.250387124993,Occasional Booker,Low Budget,Regular Flyer,445.95666666666665,0.0814798158428853,0.0,0.0,2.30875,1
9,160754,0,0,new york,37,1,1,1,47,41-50,12.0,8,86,10.78,1,0,0,0,0,2,1,1,93.62,93.62,93.62,93.62,0.0,0.0,0.0,0.0,428,428.0,428.0,428.0,0.0,0.0,1.0,2.0,2,1,1,1,1,1,1,1.0,1,1,1.0,1052.240080784357,1055.26366778776,1055.26366778776,Frequent Booker,Low Budget,Rare Flyer,521.62,0.088717164115262,0.0,0.0,1.3475,1
10,164522,0,0,kansas city,37,0,1,0,50,41-50,9.0,8,89,11.12,1,3,1,2,0,2,1,1,328.32,328.32,311.904,311.9,16.416,16.42,0.03,0.01,3029,3029.0,3029.0,3029.0,0.0,0.0,1.0,13.0,13,1,1,1,1,1,1,1.0,1,1,1.0,3572.1463241131014,3615.293006649532,3615.293006649532,Frequent Booker,Luxury Budget,Rare Flyer,3340.904,0.086273505197593,2.0,0.0051764103118555,1.39,0
11,167852,0,0,tampa,37,0,0,0,19,18-25,0.0,8,63,7.74,0,2,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Never Booker,Low Budget,Rare Flyer,0.0,0.0,0.0,0.0,0.9675,2
12,171470,0,0,atlanta,37,0,0,0,26,26-30,0.0,8,446,245.67,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Never Booker,Low Budget,Rare Flyer,0.0,0.0,0.0,0.0,30.70875,2
13,174997,0,0,grand rapids,37,0,0,0,34,31-40,8.0,8,252,132.23,2,1,1,0,1,4,2,2,590.43,295.22,590.43,295.22,0.0,0.0,0.0,0.04,448,224.0,448.0,224.0,0.0,0.0,1.0,2.0,4,2,2,2,2,2,2,1.0,2,0,0.0,6460.235691386267,6153.103136995417,3076.551568497709,Occasional Booker,Low Budget,Rare Flyer,519.215,0.0959564608059388,0.0,0.0,16.52875,1
